"","Duration (in seconds)","DistributionChannel","Consent","(att)g4q1_1_honest living","(att)g4q1_2_next door","(att)g4q1_3_rehabilitate","(att)g4q1_4_productivelives","(att)g4q1_5_immoral","(att)g4q1_6_circumstance","(att)g4q1_7_trust","(att)g4q1_8_guard","(att)g4q1_9_parole","(control)g4q2_felonsvote","g4q3_white_lowc_noitd","g4q4_nowhite_lowc_noitd","g4q5_white_medc_noitd","g4q6_nowhite_medc_noitd","g4q7_white_highc_noitd","g4q8_nowhite_highc_noitd","g4q9_white_lowc_itd","g4q10_nowhite_lowc_itd","g4q11_white_medc_itd","g4q12_nowhite_medc_itd","g4q13_white_highc_itd","g4q14_nowhite_highc_itd","age","gender","hhi","ethnicity","hispanic","education","political_party","zip","region","g4_DO","g4jail1_youincar","g4jail2_famfrdincar","g4_IV"
"1","993","anonymous","I agree","Disagree","Agree","Disagree","Strongly agree","Strongly disagree","Agree","Disagree","Disagree","Disagree","Agree",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"45","Female","$15,000 to $19,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Other - neither","35096","South","g4q1|g4q2|g4q9","No","Yes",7
"2","621","anonymous","I agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Strongly disagree","Agree","Disagree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"45","Female","$95,000 to $99,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Not very strong Republican","29841","South","g4q1|g4q2|g4q13","No","No",11
"3","742","anonymous","I agree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Disagree","Strongly agree","Strongly agree","Disagree","Disagree","Agree","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","Female","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Other - neither","08060","Northeast","g4q1|g4q2|g4q3","No","No",1
"4","432","anonymous","I agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Agree","Disagree","Disagree","Strongly agree","Agree",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"28","Female","$95,000 to $99,999","Some other race","Yes, another Hispanic, Latino, or Spanish origin *** Colombia","Associate's degree","Strong Democrat","77023","South","g4q1|g4q2|g4q8","No","Yes",6
"5","723","anonymous","I agree","Agree","Strongly disagree","Disagree","Agree","Disagree","Strongly disagree","Strongly disagree","Agree","Disagree","Strongly disagree",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34","Male","$40,000 to $44,999","White","No , not of Hispanic, Latino, or Spanish origin","Associate's degree","Independent Republican","03301","Northeast","g4q1|g4q2|g4q4","No","No",2
"6","324","anonymous","I agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"37","Male","$35,000 to $39,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Strong Republican","76118","South","g4q1|g4q2|g4q11","No","No",9
"7","734","anonymous","I agree","Agree","Strongly disagree","Strongly disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"48","Female","$35,000 to $39,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Strong Democrat","95605","West","g4q1|g4q2|g4q8","No","Yes",6
"8","565","anonymous","I agree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"67","Female","$45,000 to $49,999","White","No , not of Hispanic, Latino, or Spanish origin","Master's or professional degree","Not very strong Republican","28036","South","g4q1|g4q2|g4q6","No","No",4
"9","1088","anonymous","I agree","Disagree","Agree","Strongly disagree","Agree","Strongly disagree","Agree","Disagree","Disagree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"44","Female","$25,000 to $29,999","White","No , not of Hispanic, Latino, or Spanish origin","Associate's degree","Independent Republican","71303","South","g4q1|g4q2|g4q10","Yes","Yes",8
"10","815","anonymous","I agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","39","Female","$60,000 to $64,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Strong Democrat","77493","South","g4q1|g4q2|g4q14","No","Yes",12
"11","617","anonymous","I agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Disagree","Agree","Agree","Agree",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","Female","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Strong Democrat","77590","South","g4q1|g4q2|g4q5","No","No",3
"12","873","anonymous","I agree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"26","Female","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Strong Republican","42301","South","g4q1|g4q2|g4q13","No","No",11
"13","1121","anonymous","I agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Strongly disagree","Agree","Disagree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","81","Female","$50,000 to $54,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Not very strong Democrat","17602","Northeast","g4q1|g4q2|g4q14","No","No",12
"14","1025","anonymous","I agree","Strongly disagree","Strongly disagree","Disagree","Agree","Disagree","Disagree","Strongly disagree","Agree","Agree","Disagree","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","Female","$70,000 to $74,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Independent Republican","32966","South","g4q1|g4q2|g4q3","No","No",1
"15","625","anonymous","I agree","Agree","Strongly disagree","Agree","Strongly agree","Agree","Agree","Disagree","Strongly agree","Disagree","Agree",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","Female","25","White","No , not of Hispanic, Latino, or Spanish origin","Some high school or less","Strong Republican","12345","Northeast","g4q1|g4q2|g4q4","No","No",2
"16","554","anonymous","I agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"68","Male","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Not very strong Democrat","33415","South","g4q1|g4q2|g4q7","No","No",5
"17","785","anonymous","I agree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"64","Male","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Independent - neither","44721","Midwest","g4q1|g4q2|g4q9","No","No",7
"18","366","anonymous","I agree","Disagree","Agree","Disagree","Agree","Disagree","Strongly agree","Agree","Disagree","Strongly disagree","Agree",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","Male","$70,000 to $74,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","Associate's degree","Strong Democrat","38114","South","g4q1|g4q2|g4q5","No","Yes",3
"19","344","anonymous","I agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"35","Male","$20,000 to $24,999","American Indian or Alaska Native","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Strong Democrat","91730","West","g4q1|g4q2|g4q6","Yes","Yes",4
"20","536","anonymous","I agree","Agree","Disagree","Disagree","Strongly disagree","Agree","Strongly agree","Agree","Strongly disagree","Disagree","Disagree",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34","Male","$30,000 to $34,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Other - leaning Republican","21793","South","g4q1|g4q2|g4q4","No","No",2
"21","459","anonymous","I agree","Strongly disagree","Strongly disagree","Disagree","Strongly agree","Disagree","Disagree","Strongly disagree","Agree","Disagree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"21","Male","Less than $14,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Not very strong Democrat","30189","South","g4q1|g4q2|g4q11","No","No",9
"22","202","anonymous","I agree","Agree","Agree","Agree","Strongly disagree","Agree","Agree","Agree","Strongly disagree","Disagree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"22","Female","$250,000 and above","Asian *** Chinese","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Independent Democrat","01742","Northeast","g4q1|g4q2|g4q11","No","No",9
